Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2019-11-03 11:17:00,Chest,54m,Incline Dumbbell Press,1,16.0,12.0,0,0.0,Incline,,
2019-11-03 11:17:00,Chest,54m,Incline Dumbbell Press,2,16.0,12.0,0,0.0,Incline,,
2019-11-03 11:17:00,Chest,54m,Incline Dumbbell Press,3,16.0,8.0,0,0.0,Incline,,
2019-11-03 11:17:00,Chest,54m,Incline Dumbbell Press,4,16.0,7.0,0,0.0,Incline,,
2019-11-03 11:17:00,Chest,54m,Bench Press,1,20.0,10.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Bench Press,2,40.0,6.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Bench Press,3,40.0,8.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Bench Press,4,40.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Bench Press,5,40.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Dumbbell Press,1,16.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Dumbbell Press,2,16.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Dumbbell Press,3,16.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Dumbbell Press,4,16.0,6.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Dumbbell Press,5,16.0,7.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Cable Crossovers,1,3.75,8.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Cable Crossovers,2,3.75,8.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Cable Crossovers,3,3.75,8.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Cable Crossovers,4,3.75,8.0,0,0.0,,,
2019-11-03 11:17:00,Chest,54m,Cable Crossovers,5,6.25,7.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Incline Dumbbell Press,1,18.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Incline Dumbbell Press,2,18.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Incline Dumbbell Press,3,18.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Incline Dumbbell Press,4,18.0,7.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Incline Dumbbell Press,5,18.0,6.0,0,0.0,Incline,,
2019-11-10 18:47:00,Chest,,Bench Press,1,20.0,10.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Bench Press,2,40.0,10.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Bench Press,3,40.0,8.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Bench Press,4,40.0,10.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Bench Press,5,40.0,6.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Machine Chest Press,1,35.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Machine Chest Press,2,35.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Machine Chest Press,3,35.0,12.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Machine Chest Press,4,0.0,0.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Machine Chest Press,5,0.0,0.0,0,0.0,,,
2019-11-10 18:47:00,Chest,,Cable Crossovers,1,6.25,12.0,0,0.0,Immediately below 6,,
2019-11-10 18:47:00,Chest,,Cable Crossovers,2,6.25,12.0,0,0.0,Immediately below 6,,
2019-11-10 18:47:00,Chest,,Cable Crossovers,3,6.25,12.0,0,0.0,Immediately below 6,,
2019-11-10 18:47:00,Chest,,Cable Crossovers,4,6.25,12.0,0,0.0,Immediately below 6,,
2019-11-10 18:47:00,Chest,,Cable Crossovers,5,6.25,12.0,0,0.0,Immediately below 6,,
2019-11-18 20:53:00,Chest,,Bench Press,1,40.0,15.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Bench Press,2,40.0,12.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Bench Press,3,40.0,8.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Bench Press,4,40.0,8.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Bench Press,5,40.0,7.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Incline Dumbbell Press,1,18.0,5.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Incline Dumbbell Press,2,16.0,5.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Incline Dumbbell Press,3,18.0,4.0,0,0.0,,,
2019-11-18 20:53:00,Chest,,Incline Dumbbell Press,4,16.0,1.0,0,0.0,,,
