yyyy_mm,max_body_weight_kg,total_reps,total_volume_kg,total_duration_hours
2014-12,148.20,,,
2015-07,144.80,,,
2016-03,147.20,,,
2016-04,144.50,,,
2016-07,142.30,,,
2016-08,140.30,,,
2016-10,137.60,,,
2017-10,131.10,,,
2018-05,131.10,,,
2019-06,131.10,,,
2019-11,147.70,1026,23721.00,5.13
2019-12,149.80,668,12175.00,2.52
2020-01,151.20,431,12670.00,1.03
2020-02,140.90,906,28671.00,3.95
2020-03,133.80,,,
2020-04,133.80,477,7510.00,1.48
2020-05,131.60,,,
2020-06,131.60,,,
2021-04,126.80,,,
2021-05,122.00,,,
2021-07,118.80,,,
2021-08,117.40,3045,110533.60,22.47
2021-09,116.70,5164,196949.80,38.80
2021-10,113.30,4094,150173.60,32.47
2021-11,,4935,137106.50,22.93
2021-12,,5173,199029.70,33.35
2022-01,120.50,5216,187516.14,32.18
2022-02,,5497,169206.35,29.33
2022-03,,3050,93802.25,23.93
2022-04,,3187,116898.16,28.20
2022-05,115.50,5608,150480.50,34.25
2022-06,116.00,3500,106000.95,20.63
2022-07,,2845,95943.77,17.26
2022-08,,2752,96111.24,12.64
2022-09,,136,5056.00,1.36
2022-10,119.20,903,33799.90,3.85
2022-11,,619,9265.80,1.98
2022-12,,2667,89125.10,10.63
2023-01,,2698,70881.00,12.60
2023-02,,1001,32466.20,4.39
2023-05,,2859,81529.80,11.65
2023-10,133.00,,,
2023-11,,1318,28046.60,4.99
2024-01,,874,23526.00,3.53
2024-02,,2177,73602.70,10.37
2024-03,,1038,34496.80,5.10
2024-04,130.20,1333,47207.60,4.75
2024-05,,524,18886.60,2.32
2024-06,,1502,47025.50,3.72
2024-07,,2162,59779.00,6.67
2024-08,135.80,1910,63111.80,8.79
2024-09,135.00,1744,65517.30,8.02
2024-10,130.10,3276,159231.10,19.38
2024-11,125.00,1663,91653.00,9.38
2024-12,133.00,1358,50382.70,6.54
2025-01,136.70,660,27182.80,3.54
2025-02,127.70,,,
2025-06,,2887,83998.70,8.79
2025-07,136.30,5081,141725.80,21.08
2025-08,,941,38422.80,3.96
2025-12,148.90,,,
2026-01,148.30,,,
2026-02,140.20,,,
2026-03,144.10,893,23904.30,4.69
2026-04,137.00,3094,98252.90,17.33
2026-05,131.70,679,21897.30,4.55
