Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2020-04-13 14:31:00,Home Back and Biceps,17m,Dumbbell Row,1,10.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Dumbbell Row,2,10.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Dumbbell Row,3,10.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Dumbbell Row,4,10.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Dumbbell Row,5,10.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Row,1,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Row,2,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Row,3,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Row,4,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Row,5,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Curl,1,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Curl,2,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Curl,3,20.0,12.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Curl,4,20.0,0.0,0,0.0,,,
2020-04-13 14:31:00,Home Back and Biceps,17m,Barbell Curl,5,20.0,0.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Upright Barbell Row,1,40.0,10.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Upright Barbell Row,2,40.0,8.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Upright Barbell Row,3,40.0,8.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Upright Barbell Row,4,40.0,5.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Upright Barbell Row,5,20.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Dumbbell Lateral Raises,1,5.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Dumbbell Lateral Raises,2,5.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Dumbbell Lateral Raises,3,5.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Dumbbell Lateral Raises,4,5.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Dumbbell Lateral Raises,5,5.0,12.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Military Press,1,20.0,8.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Military Press,2,20.0,8.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Military Press,3,20.0,8.0,0,0.0,,,
2020-04-11 14:51:00,Home Shoulder,28m,Military Press,4,20.0,7.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Bench Press,1,20.0,12.0,0,0.0,Assuming bar is 10kg,,
2020-04-10 17:05:00,Home Chest,44m,Bench Press,2,30.0,20.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Bench Press,3,30.0,13.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Bench Press,4,30.0,14.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Bench Press,5,30.0,12.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Dumbbell Flies,1,5.0,12.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Dumbbell Flies,2,5.0,24.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Dumbbell Flies,3,5.0,23.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Dumbbell Flies,4,5.0,29.0,0,0.0,,,
2020-04-10 17:05:00,Home Chest,44m,Dumbbell Flies,5,5.0,28.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Bench Press,1,60.0,8.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Bench Press,2,60.0,6.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Bench Press,3,60.0,6.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Bench Press,4,60.0,6.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Bench Press,5,60.0,5.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Dumbbell Flies,1,10.0,12.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Dumbbell Flies,2,10.0,17.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Dumbbell Flies,3,10.0,12.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Dumbbell Flies,4,10.0,12.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Dumbbell Flies,5,10.0,12.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Incline Dumbbell Press,1,20.0,7.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Incline Dumbbell Press,2,20.0,7.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Incline Dumbbell Press,3,20.0,7.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Incline Dumbbell Press,4,20.0,8.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Incline Dumbbell Press,5,20.0,6.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Cable Crossovers,1,18.0,12.0,0,0.0,,,
2020-03-19 20:06:00,Chest,,Cable Crossovers,2,18.0,12.0,0,0.0,,,
