date,title,duration_min,exercises,working_sets,warmup_sets,volume_kg,rhr_same_day,rhr_next_day,hrv_same_day,hrv_next_day,stress_same_day,stress_next_day,sleep_next_night_min,sleep_next_night_score
2026-03-21,2025 D2: Posterior & Push,70,5,20,3,6078.0,74,73,31.0,31.0,41,45,490,84
2026-03-23,Late night workout 🌙,51,5,16,2,4111.1,72,72,30.0,32.0,31,45,340,68
2026-03-25,Late night workout 🌙,57,7,25,1,2431.2,72,72,34.0,32.0,45,47,405,55
2026-03-28,2025 D2: Posterior & Push,55,4,15,2,3952.0,70,70,32.0,33.0,46,31,479,81
2026-03-30,Late night workout 🌙,49,4,17,1,4661.0,70,69,34.0,35.0,40,47,336,59
2026-04-01,Late night workout 🌙,48,4,22,2,5228.5,69,66,36.0,32.0,41,51,406,73
2026-04-02,2025 D2: Posterior & Push,51,4,13,2,4078.0,66,66,32.0,35.0,51,39,314,53
2026-04-07,Late night workout 🌙,56,4,13,0,5402.0,64,65,34.0,33.0,47,33,321,63
2026-04-09,2026: Pull,60,7,20,0,2822.1,67,67,37.0,29.0,56,46,393,65
2026-04-12,2026: Legs,47,5,15,0,4917.4,68,68,33.0,,45,40,,
2026-04-13,2026 Push,46,6,17,2,2496.1,68,67,,43.0,40,41,361,71
2026-04-14,2026: Pull,57,7,19,1,2838.7,67,67,43.0,35.0,41,40,271,46
2026-04-15,2026: Legs,47,5,15,1,4795.5,67,67,35.0,38.0,40,40,309,59
2026-04-16,2026 Push,48,7,20,0,4148.2,67,67,38.0,40.0,40,30,471,77
2026-04-17,2026: Pull,62,8,22,0,6261.9,67,66,40.0,40.0,30,47,298,67
2026-04-18,2026: Legs,63,7,20,1,7821.5,66,66,40.0,25.0,47,55,462,44
2026-04-19,2026 Push,56,6,21,0,4820.8,66,66,25.0,43.0,55,42,316,68
2026-04-20,2026: Pull,70,7,23,0,4647.3,66,68,43.0,41.0,42,41,378,74
2026-04-21,2026: Legs,64,7,23,1,9159.4,68,68,41.0,39.0,41,35,296,48
2026-04-24,2026: Push,58,8,25,3,4752.6,67,68,40.0,34.0,53,34,299,57
2026-04-26,2026: Pull,70,6,20,0,4637.5,67,67,38.0,40.0,26,36,367,67
2026-04-28,2026: Legs,61,6,19,2,7041.1,67,66,40.0,,45,49,,
2026-04-29,2026: Push,76,9,30,1,8403.0,66,66,,38.0,49,44,298,61
2026-05-01,2026: Pull,76,8,24,1,5479.4,66,65,39.0,37.0,43,23,354,67
2026-05-02,2026: Legs,51,6,15,0,5196.0,65,66,37.0,44.0,23,37,294,64
2026-05-03,2026: Push [Tricep Bypass],62,6,17,0,4761.7,66,66,44.0,40.0,37,41,398,74
2026-05-05,2026: Pull [Bicep Bypass],84,9,24,0,6383.2,66,67,35.0,34.0,46,49,377,61
2026-05-08,2026: Legs,61,7,19,1,7405.8,67,68,37.0,41.0,44,54,370,73
2026-05-09,2026: Push [Tricep Bypass],56,6,17,0,5564.2,68,68,41.0,33.0,54,40,394,59
2026-05-10,2026: Pull [Bicep Bypass],87,9,28,0,6340.5,68,69,33.0,37.0,40,46,319,66
2026-05-12,2026: Legs,68,8,21,0,8053.1,69,69,36.0,38.0,44,46,254,48
2026-05-13,2026: Push [Tricep Bypass],54,6,17,0,6054.4,69,69,38.0,40.0,46,38,283,59
2026-05-14,2026: Pull [Bicep Bypass],83,9,27,0,5683.1,69,69,40.0,42.0,38,45,358,74
2026-05-16,2026: Legs,50,6,16,0,6408.2,69,70,35.0,32.0,46,41,435,65
2026-05-18,2026: Push [Tricep Bypass],62,6,18,0,5823.0,70,70,,35.0,48,45,375,72
2026-05-19,2026: Pull [Bicep Bypass],82,9,27,0,6319.6,70,70,35.0,36.0,45,44,409,62
2026-05-23,2026: Legs,56,6,16,1,6615.9,70,71,29.0,26.0,43,45,467,51
2026-05-24,2026: Push [Tricep Bypass],67,6,18,0,5902.5,71,71,26.0,38.0,45,40,320,63
2026-05-26,2026: Pull [Bicep Bypass],74,9,27,0,4839.6,70,70,39.0,38.0,44,37,297,44
