Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-04-13 14:31,2020-04-13 14:48,"Dumbbell Row",10,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Dumbbell Row",10,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Dumbbell Row",10,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Dumbbell Row",10,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Dumbbell Row",10,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Row",20,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Row",20,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Row",20,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Row",20,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Row",20,12,"",,,,Back,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Curl",20,12,"",,,,Biceps,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Curl",20,12,"",,,,Biceps,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Curl",20,12,"",,,,Biceps,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Curl",20,,"",,,,Biceps,"Home Back and Biceps",
2020-04-13 14:31,2020-04-13 14:48,"Barbell Curl",20,,"",,,,Biceps,"Home Back and Biceps",
2020-04-11 14:51,2020-04-11 15:19,"Upright Barbell Row",40,10,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Upright Barbell Row",40,8,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Upright Barbell Row",40,8,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Upright Barbell Row",40,5,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Upright Barbell Row",20,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Dumbbell Lateral Raises",5,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Dumbbell Lateral Raises",5,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Dumbbell Lateral Raises",5,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Dumbbell Lateral Raises",5,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Dumbbell Lateral Raises",5,12,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Military Press",20,8,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Military Press",20,8,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Military Press",20,8,"",,,,Shoulders,"Home Shoulder",
2020-04-11 14:51,2020-04-11 15:19,"Military Press",20,7,"",,,,Shoulders,"Home Shoulder",
2020-04-10 17:05,2020-04-10 17:49,"Bench Press",20,12,"Assuming bar is 10kg",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Bench Press",30,20,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Bench Press",30,13,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Bench Press",30,14,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Bench Press",30,12,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Dumbbell Flies",5,12,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Dumbbell Flies",5,24,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Dumbbell Flies",5,23,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Dumbbell Flies",5,29,"",,,,Chest,"Home Chest",
2020-04-10 17:05,2020-04-10 17:49,"Dumbbell Flies",5,28,"",,,,Chest,"Home Chest",
2020-03-19 20:06,,"Bench Press",60,8,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Bench Press",60,6,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Bench Press",60,6,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Bench Press",60,6,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Bench Press",60,5,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Dumbbell Flies",10,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Dumbbell Flies",10,17,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Dumbbell Flies",10,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Dumbbell Flies",10,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Dumbbell Flies",10,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Incline Dumbbell Press",20,7,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Incline Dumbbell Press",20,7,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Incline Dumbbell Press",20,7,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Incline Dumbbell Press",20,8,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Incline Dumbbell Press",20,6,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Cable Crossovers",18,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Cable Crossovers",18,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Cable Crossovers",18,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Cable Crossovers",18,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Cable Crossovers",18,12,"",,,,Chest,"Chest",
2020-03-19 20:06,,"Triceps Cable Pushdown",,,"",,,,Triceps,"Chest",
2020-03-19 20:06,,"Triceps Cable Pushdown",,,"",,,,Triceps,"Chest",
2020-03-19 20:06,,"Triceps Cable Pushdown",,,"",,,,Triceps,"Chest",
2020-03-19 20:06,,"Triceps Cable Pushdown",,,"",,,,Triceps,"Chest",
2020-03-19 20:06,,"Triceps Cable Pushdown",,,"",,,,Triceps,"Chest",
2020-03-17 20:12,,"Pulldowns",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Pulldowns",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Pulldowns",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Pulldowns",52,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Pulldowns",52,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Row",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Row",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Row",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Row",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Row",59,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Bicep Curls",10,15,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curls",10,13,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curls",10,13,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curls",10,12,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curls",10,12,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Dumbbell Row",20,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Dumbbell Row",20,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Dumbbell Row",20,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Dumbbell Row",20,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Dumbbell Row",20,12,"",,,,Back,"Back",
2020-03-17 20:12,,"Cable Curl",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Cable Curl",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Cable Curl",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Cable Curl",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Cable Curl",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curl Machine",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curl Machine",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curl Machine",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curl Machine",,,"",,,,Biceps,"Back",
2020-03-17 20:12,,"Bicep Curl Machine",,,"",,,,Biceps,"Back",
2020-03-13 17:20,,"Shoulder Dumbbell Press",20,12,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Shoulder Dumbbell Press",20,8,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Shoulder Dumbbell Press",20,6,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Shoulder Dumbbell Press",16,10,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Shoulder Dumbbell Press",16,8,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Dumbbell Lateral Raises",8,12,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Dumbbell Lateral Raises",8,12,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Dumbbell Lateral Raises",8,12,"",,,,Shoulders,"Shoulders",
2020-03-13 17:20,,"Dumbbell Lateral Raises",8,12,"",,,,Shoulders,"Shoulders",
